"","State","cause","y1","y2","y3","y4","mortality"
"272","Georgia","C6",94.2,98.5,NA,NA,192.7
"273","Hawaii","C6",NA,NA,NA,NA,0
"274","Idaho","C6",150.1,136.1,104.7,101.9,492.8
"275","Illinois","C6",53.9,51.4,42.2,27.3,174.8
"276","Indiana","C6",NA,NA,NA,NA,0
"277","Iowa","C6",NA,NA,NA,NA,0
"278","Kansas","C6",181.2,162.2,186.5,156.2,686.1
"279","Kentucky","C6",NA,NA,NA,NA,0
"280","Louisiana","C6",76.8,81.9,54.7,79.6,293
"281","Maine","C6",456,275.7,184.1,NA,915.8
"282","Maryland","C6",194.3,142.8,54.6,NA,391.7
"283","Massachusetts","C6",71.4,69.1,43.1,NA,183.6
"284","Michigan","C6",263.9,213.3,198.7,152.1,828
"285","Minnesota","C6",154.2,162.4,141.1,129.8,587.5
"286","Mississippi","C6",120.9,102.4,91.4,86.9,401.6
"287","Missouri","C6",92,68.2,82.6,56.6,299.4
"288","Montana","C6",159.3,172.3,138.6,136.1,606.3
"289","Nebraska","C6",190.5,154,92,95.5,532
"290","Nevada","C6",111.1,121.7,93,69.4,395.2
"291","New Hampshire","C6",NA,NA,NA,NA,0
"292","New Jersey","C6",62.4,100.4,55.5,27.9,246.2
"293","New Mexico","C6",104.3,87.2,70.1,74,335.6
"294","New York","C6",68.8,67.9,50.8,36.7,224.2
"295","North Carolina","C6",225.6,196.7,148.8,118.3,689.4
"296","North Dakota","C6",283,231.4,195.2,199.1,908.7
"297","Ohio","C6",52.8,43,50.4,42.6,188.8
"298","Oklahoma","C6",170.2,185.8,184.3,152.6,692.9
"299","Oregon","C6",135.5,124.2,80.6,59,399.3
"300","Pennsylvania","C6",68.8,NA,41.4,57.2,167.4
"301","Rhode Island","C6",NA,NA,NA,130.1,130.1
"302","South Carolina","C6",NA,NA,68.1,47.2,115.3
"303","South Dakota","C6",218.6,238.2,199.2,173.4,829.4
"304","Tennessee","C6",NA,63.3,60.5,50.8,174.6
"305","Texas","C6",35.4,32.1,37.1,22.6,127.2
"306","Utah","C6",93.6,133.2,74.5,71.6,372.9
"307","Vermont","C6",NA,NA,NA,NA,0
"308","Virginia","C6",54.7,NA,NA,53.1,107.8
"309","Washington","C6",176.4,167.1,147.5,138.9,629.9
"310","West Virginia","C6",NA,NA,NA,NA,0
"311","Wisconsin","C6",179,187,167.4,161.9,695.3
"312","Wyoming","C6",173.6,NA,97.6,101.1,372.3
"313","U.S.","C7",45.6,39.1,32.1,26.9,143.7
"314","Alabama","C7",NA,NA,NA,NA,0
"315","Alaska","C7",31.9,31.8,26.6,26.2,116.5
"316","Arizona","C7",43.3,31.8,30,26.9,132
"317","Arkansas","C7",NA,74.7,50.9,42.9,168.5
"318","California","C7",29.7,25,19.7,18.3,92.7
"319","Colorado","C7",40.6,NA,NA,NA,40.6
"320","Connecticut","C7",NA,NA,NA,NA,0
"321","Delaware","C7",NA,NA,NA,NA,0
"322","District of Columbia","C7",NA,NA,NA,NA,0
"323","Florida","C7",25.9,26.2,14.7,12.4,79.2
"324","Georgia","C7",NA,NA,NA,NA,0
"325","Hawaii","C7",NA,NA,NA,NA,0
"326","Idaho","C7",NA,NA,78.4,43.2,121.6
"327","Illinois","C7",NA,NA,NA,NA,0
"328","Indiana","C7",NA,NA,NA,NA,0
"329","Iowa","C7",NA,NA,NA,NA,0
"330","Kansas","C7",72,56.2,66.6,47.2,242
"331","Kentucky","C7",NA,NA,NA,NA,0
"332","Louisiana","C7",NA,NA,NA,41.5,41.5
"333","Maine","C7",NA,NA,NA,NA,0
"334","Maryland","C7",100.6,NA,NA,NA,100.6
"335","Massachusetts","C7",NA,NA,NA,NA,0
"336","Michigan","C7",98.6,62.6,68.1,52.3,281.6
"337","Minnesota","C7",56.6,60.1,51.5,40.2,208.4
"338","Mississippi","C7",NA,NA,NA,NA,0
"339","Missouri","C7",48.1,NA,39.4,NA,87.5
"340","Montana","C7",53.4,72,43.7,40,209.1
"341","Nebraska","C7",NA,NA,NA,NA,0
"342","Nevada","C7",58.7,43,NA,NA,101.7
"343","New Hampshire","C7",NA,NA,NA,NA,0
"344","New Jersey","C7",NA,43,NA,NA,43
"345","New Mexico","C7",34.5,27.3,21.4,26.5,109.7
"346","New York","C7",31.6,21.5,19.5,10.6,83.2
"347","North Carolina","C7",86,69.3,53.4,37.6,246.3
"348","North Dakota","C7",117.8,79.1,81.1,59.2,337.2
"349","Ohio","C7",NA,NA,NA,NA,0
"350","Oklahoma","C7",50.7,49.7,49.8,33,183.2
"351","Oregon","C7",48.5,45.2,22.4,16.7,132.8
