"","State","cause","y1","y2","y3","y4","mortality"
"615","South Dakota","C12",179.4,190.2,158.2,149.8,677.6
"616","Tennessee","C12",0,0,0,0,0
"617","Texas","C12",26.5,31.5,27.8,16.8,102.6
"618","Utah","C12",0,70.9,0,0,70.9
"619","Vermont","C12",0,0,0,0,0
"620","Virginia","C12",0,0,0,0,0
"621","Washington","C12",155.6,122.7,104.5,112.9,495.7
"622","West Virginia","C12",0,0,0,0,0
"623","Wisconsin","C12",165,152.3,111.3,118.9,547.5
"624","Wyoming","C12",0,0,0,0,0
